date,city,aqi,pm25,data_source
2020-07-01,Hyderabad,37.0,14.9,synthetic_realistic
2020-07-02,Hyderabad,30.0,12.0,synthetic_realistic
2020-07-03,Hyderabad,30.0,12.0,synthetic_realistic
2020-07-04,Hyderabad,30.0,12.0,synthetic_realistic
2020-07-05,Hyderabad,30.0,12.0,synthetic_realistic
2020-07-06,Hyderabad,30.0,12.0,synthetic_realistic
2020-07-07,Hyderabad,30.0,12.0,synthetic_realistic
2020-07-08,Hyderabad,41.0,16.5,synthetic_realistic
2020-07-09,Hyderabad,32.0,12.7,synthetic_realistic
2020-07-10,Hyderabad,33.0,13.2,synthetic_realistic
2020-07-11,Hyderabad,33.0,13.0,synthetic_realistic
2020-07-12,Hyderabad,30.0,12.0,synthetic_realistic
2020-07-13,Hyderabad,44.0,17.7,synthetic_realistic
2020-07-14,Hyderabad,30.0,12.0,synthetic_realistic
2020-07-15,Hyderabad,30.0,12.0,synthetic_realistic
2020-07-16,Hyderabad,30.0,12.0,synthetic_realistic
2020-07-17,Hyderabad,30.0,12.0,synthetic_realistic
2020-07-18,Hyderabad,33.0,13.2,synthetic_realistic
2020-07-19,Hyderabad,30.0,12.0,synthetic_realistic
2020-07-20,Hyderabad,30.0,12.0,synthetic_realistic
2020-07-21,Hyderabad,30.0,12.0,synthetic_realistic
2020-07-22,Hyderabad,30.0,12.0,synthetic_realistic
2020-07-23,Hyderabad,30.0,12.0,synthetic_realistic
2020-07-24,Hyderabad,32.0,12.7,synthetic_realistic
2020-07-25,Hyderabad,30.0,12.0,synthetic_realistic
2020-07-26,Hyderabad,30.0,12.0,synthetic_realistic
2020-07-27,Hyderabad,41.0,16.5,synthetic_realistic
2020-07-28,Hyderabad,30.0,12.0,synthetic_realistic
2020-07-29,Hyderabad,30.0,12.0,synthetic_realistic
2020-07-30,Hyderabad,33.0,13.0,synthetic_realistic
2020-07-31,Hyderabad,30.0,12.0,synthetic_realistic
2020-08-01,Hyderabad,30.0,12.0,synthetic_realistic
2020-08-02,Hyderabad,31.0,12.2,synthetic_realistic
2020-08-03,Hyderabad,30.0,12.0,synthetic_realistic
2020-08-04,Hyderabad,30.0,12.0,synthetic_realistic
2020-08-05,Hyderabad,30.0,12.0,synthetic_realistic
2020-08-06,Hyderabad,30.0,12.0,synthetic_realistic
2020-08-07,Hyderabad,30.0,12.0,synthetic_realistic
2020-08-08,Hyderabad,30.0,12.0,synthetic_realistic
2020-08-09,Hyderabad,30.0,12.0,synthetic_realistic
2020-08-10,Hyderabad,36.0,14.4,synthetic_realistic
2020-08-11,Hyderabad,46.0,18.3,synthetic_realistic
2020-08-12,Hyderabad,30.0,12.0,synthetic_realistic
2020-08-13,Hyderabad,30.0,12.0,synthetic_realistic
2020-08-14,Hyderabad,43.0,17.3,synthetic_realistic
2020-08-15,Hyderabad,30.0,12.0,synthetic_realistic
2020-08-16,Hyderabad,36.0,14.3,synthetic_realistic
